3ddf6b553d50   redis                                          0.26%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     104.4MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.96%     410.7MiB / 512MiB   80.22%    4.86MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.21%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     104.4MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.81%     410.7MiB / 512MiB   80.22%    4.86MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.17%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     104.4MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            2.14%     74.93MiB / 1GiB     7.32%     20.1MB / 12.2MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.91%     410.7MiB / 512MiB   80.22%    4.86MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.17%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   23.45%    117.4MiB / 2GiB     5.73%     7.34MB / 7.9MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            10.79%    75.58MiB / 1GiB     7.38%     21.8MB / 13.2MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.88%     410.7MiB / 512MiB   80.22%    5.25MB / 13.2MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.19%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   289.24%   108.6MiB / 2GiB     5.30%     8MB / 8.65MB      0B / 20.5kB      63
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            50.39%    83.46MiB / 1GiB     8.15%     25.6MB / 15.5MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       30.00%    410.7MiB / 512MiB   80.22%    6.2MB / 15.5MB    459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.20%     2.895MiB / 256MiB   1.13%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   305.05%   139.8MiB / 2GiB     6.82%     9.38MB / 10.1MB   0B / 20.5kB      69
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            13.56%    91.22MiB / 1GiB     8.91%     27.6MB / 16.7MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       4.78%     410.7MiB / 512MiB   80.22%    6.65MB / 16.7MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.19%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   291.36%   175.1MiB / 2GiB     8.55%     10.1MB / 10.8MB   0B / 20.5kB      72
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            10.14%    92.33MiB / 1GiB     9.02%     29.1MB / 17.6MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.81%     410.7MiB / 512MiB   80.22%    6.98MB / 17.6MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.16%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   288.64%   177.6MiB / 2GiB     8.67%     10.7MB / 11.5MB   0B / 20.5kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.73%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.18%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.02%     167.6MiB / 2GiB     8.18%     11.1MB / 12.1MB   0B / 20.5kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.04%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.24%     2.895MiB / 256MiB   1.13%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     166.9MiB / 2GiB     8.15%     11.1MB / 12.1MB   0B / 20.5kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.18%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.26%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     166.9MiB / 2GiB     8.15%     11.1MB / 12.1MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.05%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.22%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     166.9MiB / 2GiB     8.15%     11.1MB / 12.1MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.17%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.27%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     166.9MiB / 2GiB     8.15%     11.1MB / 12.1MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.79%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.20%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     166.6MiB / 2GiB     8.13%     11.1MB / 12.1MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     89.08MiB / 1GiB     8.70%     30.2MB / 18.3MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.80%     410.7MiB / 512MiB   80.22%    7.18MB / 18.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.19%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     166.2MiB / 2GiB     8.11%     11.1MB / 12.1MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            76.63%    95.85MiB / 1GiB     9.36%     34.8MB / 21MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       47.81%    410.8MiB / 512MiB   80.23%    8.16MB / 20.5MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.16%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   98.51%    171.3MiB / 2GiB     8.37%     12.9MB / 14.3MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            66.81%    168.3MiB / 1GiB     16.43%    40.5MB / 24.4MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       46.88%    410.8MiB / 512MiB   80.23%    9.49MB / 23.9MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.09%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   297.34%   256.3MiB / 2GiB     12.52%    15MB / 16.6MB     0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            56.66%    184.1MiB / 1GiB     17.98%    45.3MB / 27.6MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       51.65%    410.8MiB / 512MiB   80.23%    10.8MB / 27.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.22%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   24.09%    238.9MiB / 2GiB     11.66%    16.9MB / 18.2MB   0B / 24.6kB      81
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     183.3MiB / 1GiB     17.90%    46.2MB / 28.2MB   0B / 24.6kB      19
